0,43,20
0,40,30
0,30,32
0,1,28
1,34,30
1,33,22
1,26,27
1,21,6
1,12,47
2,42,39
2,27,28
2,22,25
2,12,25
3,41,32
3,29,35
3,20,16
3,18,10
3,8,11
4,48,27
4,46,18
4,33,23
5,45,18
5,40,23
5,24,44
5,21,6
5,17,19
5,10,46
6,15,13
6,9,36
7,46,23
7,38,17
8,41,30
8,35,8
8,12,17
9,45,14
9,36,14
9,22,29
10,46,36
10,43,8
10,42,54
10,29,52
10,22,40
10,15,10
11,39,41
11,14,7
12,41,28
12,26,22
13,42,30
13,41,27
13,17,24
14,34,18
15,32,32
16,47,9
16,35,30
16,25,13
17,43,36
17,29,40
18,35,4
18,34,24
18,31,14
18,20,7
19,49,45
19,48,31
19,34,42
20,49,16
20,32,24
20,28,10
20,22,35
23,43,38
23,41,27
24,40,29
24,35,9
25,46,17
25,38,17
25,36,15
26,49,26
26,43,37
26,35,33
26,34,11
26,33,38
26,31,22
27,29,30
28,40,30
28,35,5
29,45,18
29,39,38
31,42,31
31,40,20
31,39,13
31,34,12
32,44,21
33,44,22
33,43,30
33,38,31
34,47,10
34,40,13
34,38,3
35,45,28
36,49,25
36,45,4
36,44,9
36,42,23
37,39,5
39,45,25
39,42,37
39,40,28
40,44,17
42,49,37
44,49,16
