0,14,11
0,12,4
1,19,5
1,14,9
1,12,9
1,10,7
2,18,7
2,13,11
2,11,11
3,19,3
3,14,13
3,9,11
4,17,9
4,15,5
4,11,11
4,10,6
4,8,10
4,7,12
5,9,14
5,8,18
6,15,12
6,11,1
8,18,9
8,16,6
8,15,7
9,18,3
10,12,9
11,16,13
11,14,6
12,19,9
12,17,4
13,14,18
15,19,6
15,18,8
17,18,11
4,22,23
4,12,28
4,10,22
4,7,8
5,45,18
5,44,25
5,42,28
5,40,23
5,24,44
5,21,6
5,19,21
5,17,19
5,10,46
6,42,40
6,36,22
6,24,14
6,15,13
6,9,36
7,46,23
7,45,11
7,38,17
8,46,15
8,41,30
8,35,8
8,24,5
8,22,19
8,18,10
8,12,17
8,10,22
9,45,14
9,40,12
9,38,23
9,36,14
9,22,29
9,20,47
10,46,36
10,45,35
10,43,8
10,42,54
10,39,24
10,34,34
10,29,52
10,22,40
10,17,40
10,15,10
11,39,41
11,35,47
11,20,54
11,19,47
11,14,7
11,12,37
12,41,28
12,38,19
12,28,25
12,26,22
12,25,31
13,46,21
13,42,30
13,41,27
13,28,18
13,27,32
13,25,22
13,17,24
13,15,20
14,38,20
14,34,18
14,30,20
14,15,47
15,44,21
15,41,45
15,32,32
15,23,46
16,47,9
16,35,30
16,32,29
16,29,18
16,25,13
17,49,45
17,47,32
17,44,30
17,43,36
17,35,44
17,29,40
17,28,39
17,23,61
18,35,4
18,34,24
18,31,14
18,23,32
18,20,7
19,49,45
19,48,31
19,34,42
19,30,33
20,49,16
20,43,8
20,39,18
20,32,24
20,29,50
20,28,10
20,22,35
21,44,21
21,39,38
21,32,39
21,26,24
22,44,21
22,40,16
22,35,27
22,34,8
22,33,42
23,43,38
23,41,27
23,28,31
24,45,26
24,42,38
24,40,29
24,38,16
24,35,9
25,49,31
25,46,17
25,44,21
25,41,7
25,38,17
25,36,15
26,49,26
26,48,21
26,43,37
26,35,33
26,34,11
26,33,38
26,31,22
27,42,26
27,29,30
28,40,30
28,35,5
29,45,18
29,39,38
29,33,34
29,30,13
30,47,26
30,46,32
30,38,29
30,37,45
31,42,31
31,40,20
31,39,13
31,34,12
32,48,39
32,46,13
32,44,21
33,46,37
33,44,22
33,43,30
33,38,31
33,34,34
34,47,10
34,45,13
34,44,13
34,43,27
34,40,13
34,38,3
35,45,28
35,37,4
36,49,25
36,45,4
36,44,9
36,42,23
37,48,40
37,40,30
37,39,5
37,38,17
39,45,25
39,42,37
39,41,32
39,40,28
40,44,17
41,47,21
42,49,37
43,48,40
44,49,16
44,48,23
46,47,13
13,72,12
13,68,36
13,60,15
13,57,29
13,53,28
13,49,21
13,46,21
13,38,15
13,24,25
14,93,27
14,80,51
14,77,21
14,71,34
14,66,52
14,63,17
14,60,13
14,59,21
14,53,39
14,48,18
14,45,19
14,42,3
14,38,20
14,23,29
14,17,45
14,16,20
15,92,44
15,84,10
15,77,40
15,76,32
15,68,44
15,54,38
15,50,30
15,48,41
15,47,25
15,46,34
15,43,8
15,38,29
15,36,27
15,34,32
15,25,41
16,97,21
16,96,14
16,88,17
16,84,27
16,79,26
16,78,19
16,74,24
16,73,25
16,72,5
16,66,38
16,59,14
16,58,17
16,57,29
16,56,7
16,55,17
16,51,11
16,39,28
16,38,15
16,37,28
16,36,2
16,35,30
16,27,30
17,99,46
17,95,43
17,94,29
17,90,32
17,86,42
17,83,45
17,82,39
17,79,48
17,78,41
17,76,39
17,67,27
17,61,43
17,54,48
17,50,32
17,46,45
17,43,36
17,40,38
17,32,51
17,28,39
17,26,45
17,21,24
17,20,44
18,95,12
18,94,16
18,92,35
18,90,13
18,82,11
18,77,28
18,75,17
18,73,39
18,57,26
18,54,28
18,53,13
18,40,34
18,39,12
18,38,22
18,34,24
18,26,34
19,99,47
19,98,59
19,96,16
19,93,63
19,55,29
19,38,40
19,35,44
19,34,42
19,33,9
19,27,57
19,25,40
19,22,50
19,21,25
19,20,43
20,94,21
20,92,41
20,83,41
20,71,27
20,68,36
20,64,4
20,62,38
20,61,30
20,58,35
20,56,31
20,54,35
20,52,36
20,51,43
20,50,33
20,46,31
20,38,28
20,37,13
20,36,33
20,30,53
20,24,18
20,23,38
21,76,22
21,74,23
21,72,6
21,62,26
21,59,5
21,58,25
21,56,14
21,42,22
21,40,16
21,38,24
21,36,11
21,31,26
21,29,17
21,28,35
21,27,38
22,99,4
22,97,39
22,89,9
22,82,39
22,78,26
22,77,3
22,72,29
22,71,32
22,68,13
22,60,17
22,56,28
22,55,27
22,32,14
22,24,19
23,96,50
23,94,34
23,93,4
23,92,16
23,87,46
23,82,44
23,79,17
23,76,23
23,73,20
23,72,41
23,69,56
23,68,2
23,59,46
23,54,14
23,36,36
23,32,14
23,29,36
23,27,6
24,99,18
24,80,22
24,69,45
24,63,19
24,56,28
24,54,19
24,40,29
24,39,1
24,37,5
24,34,17
